Westborough;MA;42.286575;-71.585753
Ashburnham;MA;42.658768;-71.932870
Ashby;MA;42.672005;-71.813700
Ayer;MA;42.549821;-71.591360
Baldwinville;MA;42.608903;-72.080210
East Templeton;MA;42.563367;-72.034980
Gardner;MA;42.364807;-71.896868
Groton;MA;42.609887;-71.557220
Harvard;MA;42.505928;-71.588800
Hubbardston;MA;42.477515;-71.996540
Leominster;MA;42.526523;-71.753580
Littleton;MA;42.540052;-71.490850
Lunenburg;MA;42.582839;-71.720510
Pepperell;MA;42.665686;-71.592900
Shirley;MA;42.559289;-71.645550
Still River;MA;42.488666;-71.624120
Templeton;MA;42.557796;-72.068240
Townsend;MA;42.658738;-71.692040
West Groton;MA;42.446396;-71.459405
Westminster;MA;42.544622;-71.902100
West Townsend;MA;42.669408;-71.745780
Winchendon;MA;42.675441;-72.046700
Winchendon Springs;MA;42.364807;-71.896868
Auburn;MA;42.203610;-71.838430
Berlin;MA;42.380562;-71.626650
Blackstone;MA;42.028147;-71.529990
Boylston;MA;42.338392;-71.730260
Brookfield;MA;42.200374;-72.097870
Charlton;MA;42.135142;-71.969610
Charlton City;MA;42.109748;-72.079455
Charlton Depot;MA;42.364807;-71.896868
Clinton;MA;42.418836;-71.684820
East Brookfield;MA;42.212777;-72.053110
Douglas;MA;42.061437;-71.728870
East Princeton;MA;42.364807;-71.896868
Fiskdale;MA;42.125150;-72.123930
Grafton;MA;42.201674;-71.687710
Holden;MA;42.338962;-71.844340
Holland;MA;42.054676;-72.161370
Jefferson;MA;42.369658;-71.874180
Lancaster;MA;42.473131;-71.679460
Leicester;MA;42.238942;-71.919080
Linwood;MA;42.364807;-71.896868
Manchaug;MA;42.364807;-71.896868
Millbury;MA;42.196144;-71.762720
Millville;MA;42.036396;-71.577980
New Braintree;MA;42.317121;-72.122480
Northborough;MA;42.321917;-71.646920
Northbridge;MA;42.140741;-71.643760
North Brookfield;MA;42.267274;-72.078230
North Grafton;MA;42.231444;-71.705230
North Oxford;MA;42.170846;-71.889890
North Uxbridge;MA;42.364807;-71.896868
Oxford;MA;42.117527;-71.865700
Princeton;MA;42.451569;-71.882000
Rochdale;MA;42.194793;-71.906510
Rutland;MA;42.380877;-71.964270
Shrewsbury;MA;42.286643;-71.725020
Southbridge;MA;42.070827;-72.035330
South Grafton;MA;42.177462;-71.693820
South Lancaster;MA;42.443539;-71.686137
Spencer;MA;42.247212;-71.992270
Sterling;MA;42.436875;-71.773330
Sturbridge;MA;42.104581;-72.085840
Upton;MA;42.173820;-71.609710
Uxbridge;MA;42.064978;-71.629920
Webster;MA;42.047728;-71.861080
Dudley;MA;42.049864;-71.917300
West Boylston;MA;42.359842;-71.787000
West Brookfield;MA;42.242965;-72.167340
West Millbury;MA;42.364807;-71.896868
Whitinsville;MA;42.114195;-71.672250
Sutton;MA;42.131028;-71.751210
Cherry Valley;MA;42.238449;-71.871390
Paxton;MA;42.307591;-71.919290
Worcester;MA;42.293316;-71.801971
Tolland;MA;42.069484;-72.999433
Framingham;MA;42.318695;-71.423440
Village Of Nagog Woods;MA;42.519739;-71.427210
Boxborough;MA;42.486259;-71.512440
Acton;MA;42.477142;-71.442200
Ashland;MA;42.257956;-71.458860
Bedford;MA;42.496679;-71.275040
Hanscom AFB;MA;42.459085;-71.275560
Bolton;MA;42.437086;-71.612660
Carlisle;MA;42.528600;-71.350840
Concord;MA;42.457201;-71.374780
Fayville;MA;42.295544;-71.504680
Holliston;MA;42.196065;-71.437970
Hopedale;MA;42.125536;-71.536620
Hopkinton;MA;42.220447;-71.534180
Hudson;MA;42.389813;-71.557910
Natick;MA;42.273817;-71.378157
Marlborough;MA;42.350909;-71.547530
Maynard;MA;42.430781;-71.455940
Mendon;MA;42.092006;-71.544740
